hard_skill,soft_skill,candidate_field,label
"['agriculture', 'big data', 'business', 'cloud computing', 'computer engineering', 'computing', 'custom software', 'data', 'iot', 'java', 'jira', 'mobile', 'mobility', 'perspective', 'professional services', 'project management', 'python', 'scrum', 'software development', 'software engineering', 'system', 'systems integration', 'telematics', 'transportation', 'web development']","['consulting', 'innovation', 'integration', 'management', 'operations', 'organizational skills', 'problem solving', 'teamwork']",it jobs,1
"['analytics', 'application', 'application development', 'asp', 'css', 'data', 'html', 'java', 'javascript', 'medical', 'security', 'security administration', 'server', 'service', 'social security', 'sql', 'web application', 'web application development', 'web development', 'windows', 'xml', 'excel']","['customer service', 'infrastructure', 'leadership', 'management', 'microsoft office', 'microsoft windows', 'operations', 'teamwork']",it jobs,1
"['application', 'business', 'error messages', 'functional specification', 'java', 'mule', 'mulesoft', 'standard']",['information technology'],it jobs,1
